t,target_x,target_y,target_z,drone_x,drone_y,drone_z,drone_vx,drone_vy,drone_vz,target_vx,target_vy,target_vz,vx_cmd,vy_cmd,vz_cmd
0,0,0,0,-8,-2,0,0,0,0,1,0,0,20,10,0
0.05,0.05,0,0,-7,-1.5,0,20,10,0,1,0,0,-0.75,-0.5,0
0.1,0.1,0,0,-7.0375,-1.525,0,-0.75,-0.5,0,1,0,0,3.4875,1.625,0
0.15,0.15,0,0,-6.86312,-1.44375,0,3.4875,1.625,0,1,0,0,2.51562,1.11875,0
0.2,0.2,0,0,-6.73734,-1.38781,0,2.51562,1.11875,0,1,0,0,2.63422,1.16406,0
0.25,0.25,0,0,-6.60563,-1.32961,0,2.63422,1.16406,0,1,0,0,2.52879,1.0968,0
0.3,0.3,0,0,-6.47919,-1.27477,0,2.52879,1.0968,0,1,0,0,2.47344,1.05541,0
0.35,0.35,0,0,-6.35552,-1.222,0,2.47344,1.05541,0,1,0,0,2.41083,1.01092,0
0.4,0.4,0,0,-6.23498,-1.17145,0,2.41083,1.01092,0,1,0,0,2.35281,0.96927,0
0.45,0.45,0,0,-6.11734,-1.12299,0,2.35281,0.96927,0,1,0,0,2.29678,0.929136,0
0.5,0.5,0,0,-6.0025,-1.07653,0,2.29678,0.929136,0,1,0,0,2.24315,0.890706,0
0.55,0.55,0,0,-5.89034,-1.032,0,2.24315,0.890706,0,1,0,0,2.19171,0.853856,0
0.6,0.6,0,0,-5.78076,-0.989305,0,2.19171,0.853856,0,1,0,0,2.14241,0.818533,0
0.65,0.65,0,0,-5.67364,-0.948378,0,2.14241,0.818533,0,1,0,0,2.09515,0.784671,0
0.7,0.7,0,0,-5.56888,-0.909145,0,2.09515,0.784671,0,1,0,0,2.04985,0.75221,0
0.75,0.75,0,0,-5.46639,-0.871534,0,2.04985,0.75221,0,1,0,0,2.00642,0.721092,0
0.8,0.8,0,0,-5.36607,-0.835479,0,2.00642,0.721092,0,1,0,0,1.96478,0.691261,0
0.85,0.85,0,0,-5.26783,-0.800916,0,1.96478,0.691261,0,1,0,0,1.92487,0.662664,0
0.9,0.9,0,0,-5.17158,-0.767783,0,1.92487,0.662664,0,1,0,0,1.88661,0.63525,0
0.95,0.95,0,0,-5.07725,-0.736021,0,1.88661,0.63525,0,1,0,0,1.84993,0.608971,0
1,1,0,0,-4.98476,-0.705572,0,1.84993,0.608971,0,1,0,0,1.81477,0.583778,0
1.05,1.05,0,0,-4.89402,-0.676383,0,1.81477,0.583778,0,1,0,0,1.78106,0.559628,0
1.1,1.1,0,0,-4.80496,-0.648402,0,1.78106,0.559628,0,1,0,0,1.74875,0.536476,0
1.15,1.15,0,0,-4.71753,-0.621578,0,1.74875,0.536476,0,1,0,0,1.71778,0.514283,0
1.2,1.2,0,0,-4.63164,-0.595864,0,1.71778,0.514283,0,1,0,0,1.68808,0.493007,0
1.25,1.25,0,0,-4.54723,-0.571214,0,1.68808,0.493007,0,1,0,0,1.65962,0.472612,0
1.3,1.3,0,0,-4.46425,-0.547583,0,1.65962,0.472612,0,1,0,0,1.63233,0.453061,0
1.35,1.35,0,0,-4.38264,-0.52493,0,1.63233,0.453061,0,1,0,0,1.60617,0.434318,0
1.4,1.4,0,0,-4.30233,-0.503214,0,1.60617,0.434318,0,1,0,0,1.58109,0.41635,0
1.45,1.45,0,0,-4.22327,-0.482396,0,1.58109,0.41635,0,1,0,0,1.55705,0.399126,0
1.5,1.5,0,0,-4.14542,-0.46244,0,1.55705,0.399126,0,1,0,0,1.53401,0.382615,0
1.55,1.55,0,0,-4.06872,-0.443309,0,1.53401,0.382615,0,1,0,0,1.51192,0.366786,0
1.6,1.6,0,0,-3.99312,-0.42497,0,1.51192,0.366786,0,1,0,0,1.49074,0.351613,0
1.65,1.65,0,0,-3.91859,-0.407389,0,1.49074,0.351613,0,1,0,0,1.47044,0.337067,0
1.7,1.7,0,0,-3.84507,-0.390536,0,1.47044,0.337067,0,1,0,0,1.45098,0.323123,0
1.75,1.75,0,0,-3.77252,-0.37438,0,1.45098,0.323123,0,1,0,0,1.43232,0.309755,0
1.8,1.8,0,0,-3.7009,-0.358892,0,1.43232,0.309755,0,1,0,0,1.41444,0.296941,0
1.85,1.85,0,0,-3.63018,-0.344045,0,1.41444,0.296941,0,1,0,0,1.39729,0.284657,0
1.9,1.9,0,0,-3.56031,-0.329812,0,1.39729,0.284657,0,1,0,0,1.38086,0.272881,0
1.95,1.95,0,0,-3.49127,-0.316168,0,1.38086,0.272881,0,1,0,0,1.3651,0.261592,0
2,2,0,0,-3.42302,-0.303089,0,1.3651,0.261592,0,1,0,0,1.35,0.25077,0
2.05,2.05,0,0,-3.35552,-0.29055,0,1.35,0.25077,0,1,0,0,1.33552,0.240396,0
2.1,2.1,0,0,-3.28874,-0.27853,0,1.33552,0.240396,0,1,0,0,1.32164,0.230451,0
2.15,2.15,0,0,-3.22266,-0.267008,0,1.32164,0.230451,0,1,0,0,1.30833,0.220918,0
2.2,2.2,0,0,-3.15724,-0.255962,0,1.30833,0.220918,0,1,0,0,1.29558,0.211778,0
2.25,2.25,0,0,-3.09246,-0.245373,0,1.29558,0.211778,0,1,0,0,1.28335,0.203017,0
2.3,2.3,0,0,-3.0283,-0.235222,0,1.28335,0.203017,0,1,0,0,1.27163,0.194619,0
2.35,2.35,0,0,-2.96471,-0.225491,0,1.27163,0.194619,0,1,0,0,1.26039,0.186567,0
2.4,2.4,0,0,-2.9017,-0.216163,0,1.26039,0.186567,0,1,0,0,1.24962,0.178849,0
2.45,2.45,0,0,-2.83921,-0.20722,0,1.24962,0.178849,0,1,0,0,1.23929,0.17145,0
2.5,2.5,0,0,-2.77725,-0.198648,0,1.23929,0.17145,0,1,0,0,1.22939,0.164358,0
2.55,2.55,0,0,-2.71578,-0.19043,0,1.22939,0.164358,0,1,0,0,1.2199,0.157558,0
2.6,2.6,0,0,-2.65479,-0.182552,0,1.2199,0.157558,0,1,0,0,1.2108,0.15104,0
2.65,2.65,0,0,-2.59424,-0.175,0,1.2108,0.15104,0,1,0,0,1.20208,0.144792,0
2.7,2.7,0,0,-2.53414,-0.16776,0,1.20208,0.144792,0,1,0,0,1.19372,0.138802,0
2.75,2.75,0,0,-2.47445,-0.16082,0,1.19372,0.138802,0,1,0,0,1.18571,0.13306,0
2.8,2.8,0,0,-2.41517,-0.154167,0,1.18571,0.13306,0,1,0,0,1.17803,0.127555,0
2.85,2.85,0,0,-2.35627,-0.14779,0,1.17803,0.127555,0,1,0,0,1.17066,0.122278,0
2.9,2.9,0,0,-2.29773,-0.141676,0,1.17066,0.122278,0,1,0,0,1.1636,0.11722,0
2.95,2.95,0,0,-2.23955,-0.135815,0,1.1636,0.11722,0,1,0,0,1.15683,0.112371,0
3,3,0,0,-2.18171,-0.130196,0,1.15683,0.112371,0,1,0,0,1.15035,0.107722,0
3.05,3.05,0,0,-2.1242,-0.12481,0,1.15035,0.107722,0,1,0,0,1.14413,0.103266,0
3.1,3.1,0,0,-2.06699,-0.119647,0,1.14413,0.103266,0,1,0,0,1.13816,0.0989936,0
3.15,3.15,0,0,-2.01008,-0.114697,0,1.13816,0.0989936,0,1,0,0,1.13245,0.0948983,0
3.2,3.2,0,0,-1.95346,-0.109952,0,1.13245,0.0948983,0,1,0,0,1.12697,0.0909725,0
3.25,3.25,0,0,-1.89711,-0.105403,0,1.12697,0.0909725,0,1,0,0,1.12172,0.087209,0
3.3,3.3,0,0,-1.84102,-0.101043,0,1.12172,0.087209,0,1,0,0,1.11668,0.0836012,0
3.35,3.35,0,0,-1.78519,-0.096863,0,1.11668,0.0836012,0,1,0,0,1.11185,0.0801427,0
3.4,3.4,0,0,-1.7296,-0.0928558,0,1.11185,0.0801427,0,1,0,0,1.10723,0.0768273,0
3.45,3.45,0,0,-1.67424,-0.0890145,0,1.10723,0.0768273,0,1,0,0,1.10279,0.073649,0
3.5,3.5,0,0,-1.6191,-0.085332,0,1.10279,0.073649,0,1,0,0,1.09854,0.0706022,0
3.55,3.55,0,0,-1.56417,-0.0818019,0,1.09854,0.0706022,0,1,0,0,1.09446,0.0676815,0
3.6,3.6,0,0,-1.50945,-0.0784178,0,1.09446,0.0676815,0,1,0,0,1.09055,0.0648815,0
3.65,3.65,0,0,-1.45492,-0.0751738,0,1.09055,0.0648815,0,1,0,0,1.08681,0.0621975,0
3.7,3.7,0,0,-1.40058,-0.0720639,0,1.08681,0.0621975,0,1,0,0,1.08322,0.0596244,0
3.75,3.75,0,0,-1.34642,-0.0690827,0,1.08322,0.0596244,0,1,0,0,1.07977,0.0571578,0
3.8,3.8,0,0,-1.29243,-0.0662248,0,1.07977,0.0571578,0,1,0,0,1.07647,0.0547932,0
3.85,3.85,0,0,-1.23861,-0.0634851,0,1.07647,0.0547932,0,1,0,0,1.07331,0.0525265,0
3.9,3.9,0,0,-1.18494,-0.0608588,0,1.07331,0.0525265,0,1,0,0,1.07028,0.0503535,0
3.95,3.95,0,0,-1.13143,-0.0583411,0,1.07028,0.0503535,0,1,0,0,1.06737,0.0482704,0
4,4,0,0,-1.07806,-0.0559276,0,1.06737,0.0482704,0,1,0,0,1.06458,0.0462735,0
4.05,4.05,0,0,-1.02483,-0.0536139,0,1.06458,0.0462735,0,1,0,0,1.06191,0.0443592,0
4.1,4.1,0,0,-0.971733,-0.051396,0,1.06191,0.0443592,0,1,0,0,1.05935,0.0425241,0
4.15,4.15,0,0,-0.918765,-0.0492698,0,1.05935,0.0425241,0,1,0,0,1.05689,0.0407649,0
4.2,4.2,0,0,-0.86592,-0.0472315,0,1.05689,0.0407649,0,1,0,0,1.05454,0.0390785,0
4.25,4.25,0,0,-0.813193,-0.0452776,0,1.05454,0.0390785,0,1,0,0,1.05228,0.0374619,0
4.3,4.3,0,0,-0.760579,-0.0434045,0,1.05228,0.0374619,0,1,0,0,1.05012,0.0359121,0
4.35,4.35,0,0,-0.708073,-0.0416089,0,1.05012,0.0359121,0,1,0,0,1.04805,0.0344265,0
4.4,4.4,0,0,-0.65567,-0.0398876,0,1.04805,0.0344265,0,1,0,0,1.04606,0.0330023,0
4.45,4.45,0,0,-0.603367,-0.0382374,0,1.04606,0.0330023,0,1,0,0,1.04416,0.031637,0
4.5,4.5,0,0,-0.55116,-0.0366556,0,1.04416,0.031637,0,1,0,0,1.04233,0.0303282,0
4.55,4.55,0,0,-0.499043,-0.0351392,0,1.04233,0.0303282,0,1,0,0,1.04058,0.0290735,0
4.6,4.6,0,0,-0.447014,-0.0336855,0,1.04058,0.0290735,0,1,0,0,1.0389,0.0278708,0
4.65,4.65,0,0,-0.395069,-0.032292,0,1.0389,0.0278708,0,1,0,0,1.03729,0.0267178,0
4.7,4.7,0,0,-0.343205,-0.0309561,0,1.03729,0.0267178,0,1,0,0,1.03575,0.0256125,0
4.75,4.75,0,0,-0.291418,-0.0296755,0,1.03575,0.0256125,0,1,0,0,1.03427,0.024553,0
4.8,4.8,0,0,-0.239704,-0.0284478,0,1.03427,0.024553,0,1,0,0,1.03285,0.0235372,0
4.85,4.85,0,0,-0.188062,-0.0272709,0,1.03285,0.0235372,0,1,0,0,1.03149,0.0225635,0
4.9,4.9,0,0,-0.136487,-0.0261428,0,1.03149,0.0225635,0,1,0,0,1.03019,0.0216301,0
4.95,4.95,0,0,-0.0849776,-0.0250613,0,1.03019,0.0216301,0,1,0,0,1.02894,0.0207353,0
5,5,0,0,-0.0335306,-0.0240245,0,1.02894,0.0207353,0,1,0,0,1.02774,0.0198775,0
5.05,5.05,0,0,0.0178565,-0.0230306,0,1.02774,0.0198775,0,1,0,0,1.02659,0.0190551,0
5.1,5.1,0,0,0.0691862,-0.0220779,0,1.02659,0.0190551,0,1,0,0,1.02549,0.0182668,0
5.15,5.15,0,0,0.120461,-0.0211645,0,1.02549,0.0182668,0,1,0,0,1.02444,0.0175112,0
5.2,5.2,0,0,0.171683,-0.020289,0,1.02444,0.0175112,0,1,0,0,1.02343,0.0167867,0
5.25,5.25,0,0,0.222854,-0.0194496,0,1.02343,0.0167867,0,1,0,0,1.02246,0.0160923,0
5.3,5.3,0,0,0.273977,-0.018645,0,1.02246,0.0160923,0,1,0,0,1.02153,0.0154266,0
5.35,5.35,0,0,0.325054,-0.0178737,0,1.02153,0.0154266,0,1,0,0,1.02064,0.0147884,0
5.4,5.4,0,0,0.376086,-0.0171343,0,1.02064,0.0147884,0,1,0,0,1.01979,0.0141766,0
5.45,5.45,0,0,0.427075,-0.0164254,0,1.01979,0.0141766,0,1,0,0,1.01897,0.0135901,0
5.5,5.5,0,0,0.478024,-0.0157459,0,1.01897,0.0135901,0,1,0,0,1.01818,0.0130279,0
5.55,5.55,0,0,0.528933,-0.0150945,0,1.01818,0.0130279,0,1,0,0,1.01743,0.012489,0
5.6,5.6,0,0,0.579804,-0.0144701,0,1.01743,0.012489,0,1,0,0,1.01671,0.0119723,0
5.65,5.65,0,0,0.63064,-0.0138715,0,1.01671,0.0119723,0,1,0,0,1.01602,0.011477,0
5.7,5.7,0,0,0.681441,-0.0132976,0,1.01602,0.011477,0,1,0,0,1.01536,0.0110022,0
5.75,5.75,0,0,0.732208,-0.0127475,0,1.01536,0.0110022,0,1,0,0,1.01472,0.0105471,0
5.8,5.8,0,0,0.782945,-0.0122202,0,1.01472,0.0105471,0,1,0,0,1.01411,0.0101108,0
5.85,5.85,0,0,0.83365,-0.0117146,0,1.01411,0.0101108,0,1,0,0,1.01353,0.00969248,0
5.9,5.9,0,0,0.884326,-0.01123,0,1.01353,0.00969248,0,1,0,0,1.01297,0.00929151,0
5.95,5.95,0,0,0.934975,-0.0107654,0,1.01297,0.00929151,0,1,0,0,1.01243,0.00890713,0
6,6,0,0,0.985596,-0.0103201,0,1.01243,0.00890713,0,1,0,0,1.01192,0.00853865,0
6.05,6.05,0,0,1.03619,-0.00989314,0,1.01192,0.00853865,0,1,0,0,1.01142,0.00818541,0
6.1,6.1,0,0,1.08676,-0.00948387,0,1.01142,0.00818541,0,1,0,0,1.01095,0.00784679,0
6.15,6.15,0,0,1.13731,-0.00909153,0,1.01095,0.00784679,0,1,0,0,1.0105,0.00752217,0
6.2,6.2,0,0,1.18784,-0.00871542,0,1.0105,0.00752217,0,1,0,0,1.01006,0.00721099,0
6.25,6.25,0,0,1.23834,-0.00835487,0,1.01006,0.00721099,0,1,0,0,1.00965,0.00691267,0
6.3,6.3,0,0,1.28882,-0.00800924,0,1.00965,0.00691267,0,1,0,0,1.00925,0.0066267,0
6.35,6.35,0,0,1.33928,-0.0076779,0,1.00925,0.0066267,0,1,0,0,1.00887,0.00635256,0
6.4,6.4,0,0,1.38973,-0.00736027,0,1.00887,0.00635256,0,1,0,0,1.0085,0.00608976,0
6.45,6.45,0,0,1.44015,-0.00705579,0,1.0085,0.00608976,0,1,0,0,1.00815,0.00583783,0
6.5,6.5,0,0,1.49056,-0.00676389,0,1.00815,0.00583783,0,1,0,0,1.00781,0.00559633,0
6.55,6.55,0,0,1.54095,-0.00648408,0,1.00781,0.00559633,0,1,0,0,1.00749,0.00536481,0
6.6,6.6,0,0,1.59132,-0.00621584,0,1.00749,0.00536481,0,1,0,0,1.00718,0.00514288,0
6.65,6.65,0,0,1.64168,-0.00595869,0,1.00718,0.00514288,0,1,0,0,1.00688,0.00493012,0
6.7,6.7,0,0,1.69203,-0.00571219,0,1.00688,0.00493012,0,1,0,0,1.0066,0.00472616,0
6.75,6.75,0,0,1.74236,-0.00547588,0,1.0066,0.00472616,0,1,0,0,1.00632,0.00453065,0
6.8,6.8,0,0,1.79267,-0.00524935,0,1.00632,0.00453065,0,1,0,0,1.00606,0.00434322,0
6.85,6.85,0,0,1.84298,-0.00503219,0,1.00606,0.00434322,0,1,0,0,1.00581,0.00416354,0
6.9,6.9,0,0,1.89327,-0.00482401,0,1.00581,0.00416354,0,1,0,0,1.00557,0.0039913,0
6.95,6.95,0,0,1.94355,-0.00462444,0,1.00557,0.0039913,0,1,0,0,1.00534,0.00382618,0
7,7,0,0,1.99381,-0.00443314,0,1.00534,0.00382618,0,1,0,0,1.00512,0.0036679,0
7.05,7.05,0,0,2.04407,-0.00424974,0,1.00512,0.0036679,0,1,0,0,1.00491,0.00351616,0
7.1,7.1,0,0,2.09431,-0.00407393,0,1.00491,0.00351616,0,1,0,0,1.0047,0.0033707,0
7.15,7.15,0,0,2.14455,-0.0039054,0,1.0047,0.0033707,0,1,0,0,1.00451,0.00323126,0
7.2,7.2,0,0,2.19477,-0.00374383,0,1.00451,0.00323126,0,1,0,0,1.00432,0.00309758,0
7.25,7.25,0,0,2.24499,-0.00358896,0,1.00432,0.00309758,0,1,0,0,1.00414,0.00296944,0
7.3,7.3,0,0,2.2952,-0.00344048,0,1.00414,0.00296944,0,1,0,0,1.00397,0.0028466,0
7.35,7.35,0,0,2.3454,-0.00329815,0,1.00397,0.0028466,0,1,0,0,1.00381,0.00272883,0
7.4,7.4,0,0,2.39559,-0.00316171,0,1.00381,0.00272883,0,1,0,0,1.00365,0.00261594,0
7.45,7.45,0,0,2.44577,-0.00303091,0,1.00365,0.00261594,0,1,0,0,1.0035,0.00250773,0
7.5,7.5,0,0,2.49594,-0.00290553,0,1.0035,0.00250773,0,1,0,0,1.00336,0.00240398,0
7.55,7.55,0,0,2.54611,-0.00278533,0,1.00336,0.00240398,0,1,0,0,1.00322,0.00230453,0
7.6,7.6,0,0,2.59627,-0.0026701,0,1.00322,0.00230453,0,1,0,0,1.00308,0.0022092,0
7.65,7.65,0,0,2.64643,-0.00255964,0,1.00308,0.0022092,0,1,0,0,1.00296,0.0021178,0
7.7,7.7,0,0,2.69658,-0.00245375,0,1.00296,0.0021178,0,1,0,0,1.00283,0.00203019,0
7.75,7.75,0,0,2.74672,-0.00235224,0,1.00283,0.00203019,0,1,0,0,1.00272,0.0019462,0
7.8,7.8,0,0,2.79685,-0.00225493,0,1.00272,0.0019462,0,1,0,0,1.0026,0.00186569,0
7.85,7.85,0,0,2.84698,-0.00216165,0,1.0026,0.00186569,0,1,0,0,1.0025,0.00178851,0
7.9,7.9,0,0,2.89711,-0.00207222,0,1.0025,0.00178851,0,1,0,0,1.00239,0.00171452,0
7.95,7.95,0,0,2.94723,-0.0019865,0,1.00239,0.00171452,0,1,0,0,1.00229,0.00164359,0
8,8,0,0,2.99734,-0.00190432,0,1.00229,0.00164359,0,1,0,0,1.0022,0.0015756,0
8.05,8.05,0,0,3.04745,-0.00182554,0,1.0022,0.0015756,0,1,0,0,1.00211,0.00151042,0
8.1,8.1,0,0,3.09756,-0.00175002,0,1.00211,0.00151042,0,1,0,0,1.00202,0.00144793,0
8.15,8.15,0,0,3.14766,-0.00167762,0,1.00202,0.00144793,0,1,0,0,1.00194,0.00138803,0
8.2,8.2,0,0,3.19776,-0.00160822,0,1.00194,0.00138803,0,1,0,0,1.00186,0.00133061,0
8.25,8.25,0,0,3.24785,-0.00154169,0,1.00186,0.00133061,0,1,0,0,1.00178,0.00127557,0
8.3,8.3,0,0,3.29794,-0.00147791,0,1.00178,0.00127557,0,1,0,0,1.00171,0.0012228,0
8.35,8.35,0,0,3.34802,-0.00141677,0,1.00171,0.0012228,0,1,0,0,1.00164,0.00117221,0
8.4,8.4,0,0,3.3981,-0.00135816,0,1.00164,0.00117221,0,1,0,0,1.00157,0.00112372,0
8.45,8.45,0,0,3.44818,-0.00130197,0,1.00157,0.00112372,0,1,0,0,1.0015,0.00107723,0
8.5,8.5,0,0,3.49826,-0.00124811,0,1.0015,0.00107723,0,1,0,0,1.00144,0.00103267,0
8.55,8.55,0,0,3.54833,-0.00119648,0,1.00144,0.00103267,0,1,0,0,1.00138,0.000989945,0
8.6,8.6,0,0,3.5984,-0.00114698,0,1.00138,0.000989945,0,1,0,0,1.00132,0.000948992,0
8.65,8.65,0,0,3.64847,-0.00109953,0,1.00132,0.000948992,0,1,0,0,1.00127,0.000909733,0
8.7,8.7,0,0,3.69853,-0.00105404,0,1.00127,0.000909733,0,1,0,0,1.00122,0.000872098,0
8.75,8.75,0,0,3.74859,-0.00101044,0,1.00122,0.000872098,0,1,0,0,1.00117,0.00083602,0
8.8,8.8,0,0,3.79865,-0.000968639,0,1.00117,0.00083602,0,1,0,0,1.00112,0.000801435,0
8.85,8.85,0,0,3.8487,-0.000928567,0,1.00112,0.000801435,0,1,0,0,1.00107,0.00076828,0
8.9,8.9,0,0,3.89876,-0.000890153,0,1.00107,0.00076828,0,1,0,0,1.00103,0.000736497,0
8.95,8.95,0,0,3.94881,-0.000853328,0,1.00103,0.000736497,0,1,0,0,1.00099,0.000706029,0
9,9,0,0,3.99886,-0.000818027,0,1.00099,0.000706029,0,1,0,0,1.00094,0.000676821,0
9.05,9.05,0,0,4.04891,-0.000784186,0,1.00094,0.000676821,0,1,0,0,1.00091,0.000648821,0
9.1,9.1,0,0,4.09895,-0.000751745,0,1.00091,0.000648821,0,1,0,0,1.00087,0.00062198,0
9.15,9.15,0,0,4.14899,-0.000720646,0,1.00087,0.00062198,0,1,0,0,1.00083,0.00059625,0
9.2,9.2,0,0,4.19904,-0.000690833,0,1.00083,0.00059625,0,1,0,0,1.0008,0.000571583,0
9.25,9.25,0,0,4.24908,-0.000662254,0,1.0008,0.000571583,0,1,0,0,1.00076,0.000547937,0
9.3,9.3,0,0,4.29911,-0.000634857,0,1.00076,0.000547937,0,1,0,0,1.00073,0.00052527,0
9.35,9.35,0,0,4.34915,-0.000608594,0,1.00073,0.00052527,0,1,0,0,1.0007,0.00050354,0
9.4,9.4,0,0,4.39919,-0.000583417,0,1.0007,0.00050354,0,1,0,0,1.00067,0.000482709,0
9.45,9.45,0,0,4.44922,-0.000559281,0,1.00067,0.000482709,0,1,0,0,1.00065,0.000462739,0
9.5,9.5,0,0,4.49925,-0.000536144,0,1.00065,0.000462739,0,1,0,0,1.00062,0.000443596,0
9.55,9.55,0,0,4.54928,-0.000513964,0,1.00062,0.000443596,0,1,0,0,1.00059,0.000425245,0
9.6,9.6,0,0,4.59931,-0.000492702,0,1.00059,0.000425245,0,1,0,0,1.00057,0.000407653,0
9.65,9.65,0,0,4.64934,-0.000472319,0,1.00057,0.000407653,0,1,0,0,1.00055,0.000390789,0
9.7,9.7,0,0,4.69937,-0.00045278,0,1.00055,0.000390789,0,1,0,0,1.00052,0.000374622,0
9.75,9.75,0,0,4.74939,-0.000434049,0,1.00052,0.000374622,0,1,0,0,1.0005,0.000359124,0
9.8,9.8,0,0,4.79942,-0.000416093,0,1.0005,0.000359124,0,1,0,0,1.00048,0.000344268,0
9.85,9.85,0,0,4.84944,-0.000398879,0,1.00048,0.000344268,0,1,0,0,1.00046,0.000330026,0
9.9,9.9,0,0,4.89947,-0.000382378,0,1.00046,0.000330026,0,1,0,0,1.00044,0.000316373,0
9.95,9.95,0,0,4.94949,-0.000366559,0,1.00044,0.000316373,0,1,0,0,1.00042,0.000303285,0
